Symbol,Date,Open,High,Low,Close,Volume,Adjusted,EPS,Dividend
AAPL,2016-09-26,113.609,115.39,113.518,112.879997,29869400,110.923363,8.62,2.18
AAPL,2016-09-27,114.993,115.176,114.322,113.089996,24607400,111.129723,8.62,2.18
AAPL,2016-09-28,115.695,116.662,115.431,113.949997,29641100,111.974823,8.62,2.18
AAPL,2016-09-29,115.156,115.807,113.772,112.18,35887000,110.235504,8.62,2.18
AAPL,2016-09-30,114.444,115.37,113.772,113.050003,36379100,111.090431,8.62,2.18
AAPL,2016-10-03,114.698,115.044,114.261,112.519997,21701800,110.569603,8.62,2.18
AAPL,2016-10-04,115.054,116.326,114.617,113,29736800,111.04129,8.62,2.18
AAPL,2016-10-05,115.4,115.665,114.678,113.050003,21453100,111.090431,8.62,2.18
AAPL,2016-10-06,115.706,116.357,115.126,113.889999,28779300,111.915863,8.62,2.18
AAPL,2016-10-07,116.326,116.581,115.512,114.059998,24358400,112.082916,8.62,2.18
AAPL,2016-10-10,117.049,118.809,116.744,116.050003,36236000,114.038429,8.62,2.18
AAPL,2016-10-11,119.776,120.784,118.25,116.300003,64041000,114.284088,8.62,2.18
AAPL,2016-10-12,119.42,120.061,118.809,117.339996,37586800,115.306061,8.62,2.18
AAPL,2016-10-13,118.85,119.512,117.761,116.980003,35192400,114.952301,8.62,2.18
AAPL,2016-10-14,119.959,120.254,119.196,117.629997,35652200,115.591034,8.62,2.18
AAPL,2016-10-17,119.4,119.919,118.84,117.550003,23624900,115.512428,8.62,2.18
AAPL,2016-10-18,120.265,120.295,119.522,117.470001,24553500,115.433815,8.62,2.18
AAPL,2016-10-19,119.318,119.837,115.807,117.120003,20034600,115.089874,8.62,2.18
AAPL,2016-10-20,118.921,119.451,118.382,117.059998,24125800,115.030914,8.62,2.18
AAPL,2016-10-21,118.87,118.972,118.331,116.599998,23192700,114.57888,8.62,2.18
AAPL,2016-10-24,119.166,119.817,119.064,117.650002,23538700,115.61068,8.62,2.18
AAPL,2016-10-25,120.031,120.448,119.379,118.25,48129000,116.200294,8.62,2.18
AAPL,2016-10-26,116.326,117.741,115.309,115.589996,66134200,113.586395,8.62,2.18
AAPL,2016-10-27,117.425,117.904,116.113,114.480003,34562000,112.495644,8.62,2.18
AAPL,2016-10-28,115.879,117.242,115.451,113.720001,37861700,111.748817,8.62,2.18
AAPL,2016-10-31,115.655,116.245,115.197,113.540001,26419400,111.57193,8.62,2.18
AAPL,2016-11-01,115.461,115.777,112.48,111.489998,43825800,109.557465,8.62,2.18
AAPL,2016-11-02,113.365,114.332,113.192,111.589996,28331700,109.655731,8.33,2.18
AAPL,2016-11-03,112.361,112.847,110.913,109.830002,26932600,108.480354,8.33,2.23
AAPL,2016-11-04,109.88,111.622,109.455,108.839996,30837000,107.502518,8.33,2.23
AAPL,2016-11-07,111.45,111.885,110.822,110.410004,32560000,109.053238,8.33,2.23
AAPL,2016-11-08,111.682,113.11,111.065,111.059998,24054500,109.695236,8.33,2.23
AAPL,2016-11-09,111.247,112.705,109.394,110.879997,59176400,109.517456,8.33,2.23
AAPL,2016-11-10,112.472,112.472,107.147,107.790001,57134500,106.465424,8.33,2.23
AAPL,2016-11-11,108.453,110.224,107.876,108.43,34094100,107.097557,8.33,2.23
AAPL,2016-11-14,109.05,109.151,105.375,105.709999,51175500,104.41098,8.33,2.23
